ph,k,na,mg,ca,cl,f,sio2,temp
7.4,10,153,2,6,80,1.07,94,119.6
7.5,11.9,187.5,9.7,82,85.6,1.09,58.4,94.9
7.5,12.4,104.7,19.541,84.4,251.3,1.092,44.7,82.3
7.8,1,44,2.2,16,10,1.1,19,47.3
7.3,8.3,69,30,81,15,1.1,27,60.8
7.9,4.4,35,6.5,25,9.1,1.1,60,96.2
7.8,8.3,90,10,56,30,1.1,41,78.4
8.5,10,200,5.6,19,28,1.1,43,80.6
7.6,5.9,36,22,44,13,1.1,20,49.2
8,7.2,61,22,34,21,1.1,18,45.3
8.2,3.6,38,0.73,7.6,5.7,1.1,63,98.6
8.6,8,160,0.76,4.3,110,1.1,48,85.6
8,10.3,398,4.73,3.4,237,1.12,24.9,57.6
7.2,19,2400,580,1400,6800,1.2,68,102.5
7.5,9.5,120,5,40,20,1.2,101,123.7
7.6,9.3,210,34,55,160,1.2,28,62.3
7.3,8.7,32,16,48,11,1.2,19,47.3
8.1,2.3,73,10,33,8.9,1.2,59,95.4
7.4,12,157,7.8,60,69,1.2,75,107.5
7.7,20.4,228,37.5,50.3,222,1.21,62.1,97.9
7.7,24.4,144,40.5,59.4,114,1.21,49.6,87.1
8,6.4,180,20,130,24,1.3,39,76.2
7.4,12.6,347,39.6,133,136,1.31,35.8,72.5
7.7,2.5,50.3,4.51,45.2,12.9,1.34,30.1,65.2
9.2,4.6,150,0.254,0.9,27.4,1.38,40.2,77.6
9,2.5,120,0.106,0.4,7.4,1.4,29,63.7
7.7,4,60.6,6.39,19.7,19.9,1.4,65,100.2
7.2,14,39,4.8,34,8,1.4,106,126.4
7.3,4.5,112,2.2,17,24,1.4,44,81.6
7.9,4.4,60.6,3.23,9.8,10,1.4,78,109.5
8.7,8.7,244,0.702,2.3,109,1.4,49.8,87.3
7.6,7.5,50,20,38,13,1.4,21,51
7.9,6,103,2.9,21,18,1.4,45,82.6
7.9,9,62,3.9,70,61,1.4,82,112.2
7.7,7.6,52,27,27,12,1.4,78,109.5
8.4,42,570,2.1,21,570,1.4,63,98.6
